Alpha, the change for 25 cents in US$ is 0,1,0,0
Alpha, the change for 85 cents in AU$ is 1,1,1,1
Alpha, the change for 36 cents in EUR is 1,1,1,1
Bravo, the change for 29 cents in EUR is 1,0,1,4
Charlie, the change for 34 cents in US$ is 0,1,0,9
Delta, the change for 40 cents in EUR is 2,0,0,0
Echo, the change for 95 cents in AU$ is 1,2,0,1
Foxtrot, the change for 54 cents in US$ is 1,0,0,4
Foxtrot, the change for 25 cents in AU$ is 0,1,0,1
Golf, the change for 89 cents in EUR is 4,0,1,4
Hotel, the change for 94 cents in US$ is 1,1,1,9
India, the change for 36 cents in EUR is 1,1,1,1
Juliette, the change for 15 cents in AU$ is 0,0,1,1
Kilo, the change for 10 cents in AU$ is 0,0,1,0
Lima, the change for 10 cents in AU$ is 0,0,1,0
Whiskey, the change for 90 cents in AU$ is 1,2,0,0
Tango, the change for 69 cents in US$ is 1,0,1,9
Yankee, the change for 95 cents in AU$ is 1,2,0,1
